disant	disolh	lar	com				
0.230	0.370	0.830	1.190				
0.210	0.360	0.790	1.900				
0.220	0.360	0.790	2.110				
0.240	0.380	0.870	2.080				
0.230	0.350	0.760	2.290				
0.230	0.390	0.880	2.060				
0.240	0.360	0.850	2.250				
0.230	0.380	0.810	2.310				
0.250	0.400	0.790	2.330				
0.220	0.390	0.890	2.080				
0.240	0.380	0.880	2.010				
0.220	0.380	0.800	2.290				
0.230	0.370	0.770	2.080				
0.230	0.360	0.840	1.950				
0.240	0.390	0.910	1.980				
0.240	0.390	0.760	2.230				
0.240	0.370	0.890	1.960				
0.210	0.390	0.900	2.110				
0.220	0.380	0.840	2.090				
0.230	0.390	0.560	2.370				
0.230	0.380	0.760	2.330				
0.220	0.370	0.890	2.150				
0.220	0.370	0.790	2.350				
0.240	0.370	0.830	2.120				
0.240	0.350	0.780	2.180				
0.230	0.380	0.870	1.930				
0.230	0.370	0.750	2.260				
0.200	0.370	0.840	2.100				
0.240	0.400	0.790	2.710				
0.230	0.390	0.760	2.350				
0.250	0.440	1.060	2.500				
0.240	0.450	0.990	2.820				
0.240	0.430	1.090	2.560				
0.240	0.440	0.960	2.850				
0.230	0.360	0.780	1.930				
0.240	0.440	0.970	2.770				
0.250	0.370	0.720	2.420				
0.240	0.400	0.940	2.430				
0.230	0.380	0.750	2.280				
0.230	0.380	0.760	2.370				
0.240	0.380	0.780	2.260				
0.240	0.400	0.820	2.450				
0.220	0.370	0.720	2.240				
0.220	0.370	0.780	2.290				
0.230	0.370	0.750	2.290				
0.250	0.390	0.790	2.300				
0.250	0.400	0.870	2.300				
0.250	0.410	0.780	2.310				
0.240	0.400	0.800	2.390				
0.240	0.390	0.740	2.320				
0.230	0.380	0.750	2.290				
0.250	0.390	0.810	2.470				
0.230	0.380	0.770	2.290				
0.230	0.390	0.760	2.390				
0.230	0.370	0.780	2.200				
0.220	0.420	0.820	2.670				
0.240	0.440	1.000	2.490				
0.240	0.440	0.970	2.740				
0.230	0.380	0.810	2.250				
0.250	0.440	1.020	2.580				
0.220	0.410	0.920	2.510				
0.230	0.430	0.960	2.310				
0.240	0.430	0.970	2.460				
0.240	0.460	0.910	2.750				
0.250	0.430	0.920	2.670				
0.240	0.450	1.000	2.680				
0.240	0.450	0.910	2.770				
0.250	0.420	0.890	2.590				
0.240	0.440	1.070	2.610				
0.240	0.430	0.950	2.480				
0.230	0.380	0.790	2.180				
0.240	0.450	0.940	2.810				
0.250	0.370	0.810	2.390				
0.240	0.460	1.000	2.850				
0.240	0.450	0.940	2.840				
0.230	0.420	0.790	2.360				
0.220	0.390	0.800	2.360				
0.230	0.420	0.900	2.880				
0.250	0.450	1.000	2.860				
0.230	0.420	0.960	2.530				
0.240	0.400	0.840	2.370				
0.220	0.380	0.770	2.330				
0.230	0.400	0.780	2.390				
0.240	0.420	1.050	2.690				
0.240	0.390	0.850	2.520				
0.220	0.390	0.780	2.330				
0.230	0.430	0.930	2.930				
0.240	0.420	0.970	2.810				
0.250	0.450	1.040	2.990				
0.220	0.360	0.780	2.400				
0.240	0.390	0.830	2.370				
0.230	0.420	0.890	2.790				
0.260	0.450	0.990	2.760				
0.240	0.400	0.860	2.410				
0.230	0.440	0.970	2.850				
0.230	0.390	0.870	2.340				
0.230	0.370	0.790	2.130				
0.220	0.370	0.830	2.340				
0.210	0.370	0.740	2.200				
0.230	0.440	1.000	2.500				
0.240	0.440	0.970	2.640				
0.260	0.470	1.060	2.910				
0.250	0.430	0.890	2.710				
0.250	0.460	1.010	2.800				
0.270	0.470	1.020	2.950				
0.260	0.450	1.030	2.950				
0.220	0.410	0.800	2.630				
0.250	0.440	1.030	2.730				
0.260	0.440	0.960	2.870				
0.260	0.460	1.060	2.850				
0.250	0.430	0.920	2.630				
0.260	0.460	1.020	2.780				
0.260	0.470	1.110	2.830				
0.230	0.440	0.860	2.760				
0.260	0.460	1.090	2.660				
0.250	0.440	0.910	2.700				
0.260	0.460	1.050	2.910				
0.250	0.440	0.940	2.750				
0.250	0.440	1.020	2.520				
0.250	0.450	0.950	2.960				
0.260	0.440	0.990	2.800				
0.250	0.430	0.980	2.550				
0.260	0.450	1.020	2.740				
0.250	0.450	1.040	2.640				
0.260	0.460	1.100	2.800				
0.250	0.430	0.900	2.700				
0.240	0.420	0.900	2.400				
0.250	0.450	1.020	2.800				
0.250	0.430	1.020	2.760				
0.250	0.470	1.120	2.880				
0.250	0.450	1.010	2.790				
0.260	0.470	1.000	2.950				
0.250	0.450	0.990	2.720				
0.250	0.460	1.050	2.760				
0.250	0.440	1.010	2.770				
0.250	0.460	1.100	2.920				
0.250	0.460	1.070	2.970				
0.240	0.430	0.970	2.660				
0.250	0.480	1.090	2.950				
0.250	0.440	0.790	2.720				
0.250	0.430	0.940	2.660				
0.270	0.430	1.030	2.680				
0.260	0.450	1.020	2.700				
0.250	0.410	1.010	2.740				
0.270	0.430	0.980	2.770				
0.250	0.440	1.070	2.570				
0.250	0.440	1.030	2.760				
0.250	0.420	1.010	2.590				
0.240	0.450	1.030	2.700				
0.260	0.460	1.010	2.860				
0.240	0.420	0.910	2.570				
0.250	0.450	1.080	2.850				
0.250	0.410	0.910	2.760				
0.240	0.420	0.950	2.720				
0.250	0.450	0.990	2.740				
0.250	0.440	1.010	2.640				
0.260	0.460	1.030	2.740				
0.250	0.440	1.010	2.870				
0.230	0.450	0.970	2.660				
0.270	0.430	0.970	2.560				
0.240	0.430	1.000	2.660				
0.240	0.430	0.930	2.660				
0.280	0.460	0.990	2.530				
0.230	0.410	0.910	2.690				
0.250	0.430	0.950	2.540				
0.230	0.440	0.950	2.670				
0.250	0.420	0.910	2.760				
0.230	0.420	0.910	2.730				
0.230	0.420	0.890	2.630				
0.260	0.440	1.000	2.890				
0.250	0.420	0.910	2.530				
0.260	0.440	1.010	2.870				
0.230	0.430	1.040	2.860				
0.270	0.460	1.070	2.800				
0.260	0.430	0.960	2.840				
0.240	0.420	0.910	2.830				
0.260	0.410	0.900	2.620				
0.270	0.460	1.050	2.860				
0.240	0.450	1.090	3.000				
0.270	0.480	1.060	2.600				
0.270	0.430	1.010	2.900				
0.260	0.430	0.910	2.580				
0.290	0.440	1.050	2.750				
0.240	0.450	1.050	2.360				
0.300	0.440	1.040	2.830				
0.240	0.440	1.040	2.520				
0.260	0.460	1.000	3.120				
0.250	0.440	1.010	2.870				
0.260	0.450	1.060	2.940				
0.260	0.450	1.020	2.950				
0.250	0.450	1.030	2.800				
0.250	0.440	0.940	2.920				
0.260	0.430	0.950	2.660				
0.250	0.430	0.930	2.640				
0.250	0.430	0.930	2.680				
0.250	0.470	1.070	2.420				
0.250	0.440	0.960	2.680				
0.250	0.430	0.930	2.660				
0.250	0.460	1.040	2.690				
0.260	0.440	0.990	2.880				
0.250	0.450	1.000	2.880				
0.240	0.460	1.060	2.870				
0.240	0.430	0.980	2.690				
0.250	0.450	0.930	2.790				
0.260	0.450	1.070	2.860				
0.280	0.510	1.090	3.100				
